Date,Title,Link,Tags,Description,Text
2025.01.02 20:31,"Что произошло за день: четверг, 2 января",https://www.interfax.ru/russia/1001523,,,"Около 2,4 тыс. тонн нефтепродуктов попало в море из-за ЧП в Керченском проливе, число жертв наезда на людей в Новом Орлеане выросло до 15,
Китай ввел торговые ограничения для 28 оборонных компаний США,Москва. 2 января. INTERFAX.RU - Краткая сводка событий, произошедших за день:,заявили в МИД России. Как , представитель ведомства Мария Захарова, ""киевские власти приняли решение о прекращении прокачки голубого топлива из России для жителей европейских стран, несмотря на выполнение ""Газпромом"" своих контрактных обязательств""., Это , первоначальной оценки, отметили в Минтрансе. Между тем, в общей сложности почти 73 тыс. тонн песка с мазутом , с пляжей Кубани, также спасены ,.,По данным СМИ, нападавшим стал 42-летний бывший американский военнослужащий из Техаса Шамсуддин Джаббар. Сотрудники правоохранительных органов США , данные, согласно которым у него могли быть сообщники., Это случилось близ входа в гостиницу Trump International Hotel, одним из владельцев которой является избранный президент США Дональд Трамп. Находившийся внутри машины ,. Еще семеро получили травмы. Президент США Джо Байден заявил о , между наездом на людей в Новом Орлеане и взрывом автомобиля Tesla., Среди ,, попавших под торговые ограничения, есть General Dynamics, Boeing Defence, Space & Security, Lockheed Martin Corporation, Raytheon Missiles & Defence. Между тем, в США , ввести новые ограничения или запрет на китайские беспилотники., Еще четверо ,. Подозреваемым оказался 45-летний Ацо Мартинович, в прошлом его задерживали за незаконное хранение оружия. К поиску стрелка привлекали спецназ, министр внутренних дел Данило Шаранович сообщил, что Мартинович ""при задержании попытался покончить с собой и скончался от ранений в машине скорой помощи""., В одну из больниц города были госпитализированы ,., Прямые регулярные рейсы будут запущены ,."
2025.01.01 23:10,Пять беспилотников уничтожены над Ростовской областью,https://www.interfax.ru/russia/1001508,"Ростов,Юрий Слюсарь,Ростовская область",,"Москва. 1 января. INTERFAX.RU - Средства противовоздушной обороны уничтожили пять дронов над Ростовской областью, сообщил врио губернатора Юрий Слюсарь.,""Два БПЛА уничтожено в районе Таганрога. Предварительно, без пострадавших"", - написал Слюсарь в своем телеграм-канале.,Кроме того, он сообщил, что три беспилотника уничтожены в Миллеровском и Тарасовском районах."
2025.01.02 17:45,"Около 2,4 тыс. тонн нефтепродуктов попало в море после крушения танкеров",https://www.interfax.ru/russia/1001555,"Минтранс РФ,Краснодарский край,Керченский пролив",,"Москва. 2 января. INTERFAX.RU - Морспасслужба установила точное количество поврежденных емкостей в затонувших частях танкеров ""Волгонефть"" в Керченском проливе - это четыре танка с мазутом, сообщает в четверг Минтранс РФ в своем телеграм-канале.,""Это суммарно четыре танка с мазутом. Детальное обследование показало, что на обоих танкерах они были разрушены по линии разлома судна. В остальном корпуса танкеров не имеют видимых повреждений, утечки мазута не зафиксированы. Также специалисты установили объем нефтепродуктов, попавших в море - около 2,4 тыс. тонн. Это значительно меньше первоначальной оценки, которую давали со слов капитанов танкеров"", - говорится в сообщении.,Накануне сообщалось, что специалисты Морспасслужбы ,затонувших фрагментов танкеров, утечек мазута из них нет.,Ежедневно продолжается мониторинг акватории, суда Морспасслужбы патрулируют территорию.,15 декабря в Керченском проливе потерпели крушение танкеры с мазутом ""Волгонефть 212"" и ""Волгонефть 239"". Один член экипажа ,, остальные были эвакуированы. В районе ЧП произошел разлив топлива. Нефтепродукты вынесло на берег, загрязнение растянулось ,.,Общая протяженность зоны мониторинга на побережье Краснодарского края составляет 220 км. К ликвидации ЧС привлечены, с учетом волонтеров, более 10 тыс. человек и 700 единиц техники.,На территории четырех поселений Темрюкского района и в станице Благовещенской близ Анапы был введен режим ЧС.,25 декабря губернатор Краснодарского края Вениамин Кондратьев ввел режим ЧС на всей территории региона. 26 декабря правительственная комиссия под председательством главы МЧС РФ Александра Куренкова приняла решение о введении,."
2025.01.02 17:46,Более 8 тыс. жителей Псковской области остались без света из-за непогоды,https://www.interfax.ru/russia/1001556,"Псковская область,Михаил Ведерников",,"Москва. 2 января. INTERFAX.RU - Более восьми тысяч человек в Псковской области остались без электричества из-за метели и сильного ветра, сообщил в четверг губернатор Михаил Ведерников.,""В Псковской области в связи с ухудшением погоды энергетики перешли в особый режим работы. Ситуацию разобрали в рамках экстренного заседания штаба по энергосбережению"", - , он в своем телеграм-канале.,По его словам, наибольшие отключения зафиксированы в Псковском и Себежском районах, а также в Порховском и Струго-Красненском муниципальном округах.,""Всего без электричества было более 8 тысяч человек. Отключенных объектов ЖКХ и соцсферы нет"", - отметил Ведерников.,Работы по восстановлению электроснабжения ведутся силами 78 бригад численностью 221 человек и 78 единиц техники. Установлено 10 генераторов."
2025.01.01 18:57,Выросло число пострадавших после вчерашнего обстрела Шебекина,https://www.interfax.ru/russia/1001496,"Вячеслав Гладков,Шебекино,Белгородская область",,"Москва. 1 января. INTERFAX.RU - В результате обстрела Шебекина, совершенного 31 декабря, пострадало еще два человека, , губернатор Белгородской области Вячеслав Гладков.,""Сегодня к вечеру в Шебекинскую ЦРБ самостоятельно обратились двое мужчин, которые были ранены при вчерашних обстрелах Шебекино"", - написал он в Telegram.,После обстрела в городе частично отключилась подача электроэнергии на шести улицах. ""Аварийные бригады приступят к восстановительным работам после согласования с Министерством обороны РФ"", - уточнил Гладков.,31 декабря в Шебекинскую ЦРБ после обстрела обратился мужчина с осколочным ранением."
2025.01.01 19:27,В Москве ночью снег с дождем продолжится,https://www.interfax.ru/moscow/1001497,Москва,,"Москва. 1 января. INTERFAX.RU - В столице после 21 часа прогнозируют мокрый снег с дождем, ветер усилится до 17 метров в секунду, , телеграм-канал комплекса городского хозяйства Москвы.,""По прогнозам синоптиков, после 21:00 и до 10:00 2 января в столице ожидаются снег, мокрый снег, дождь, усиление ветра до 17 м/с. Погодные условия могут способствовать образованию гололедицы"", - говорится в сообщении.,Утром жителей столичного региона МЧС предупреждало о мокром снеге, гололедице и сильном ветре."
2025.01.01 20:04,ФБР разыскивает возможных сообщников новоорлеанского террориста,https://www.interfax.ru/world/1001498,"Джо Байден,Дональд Трамп,США,ФБР,Новый Орлеан",,"Подозреваемый - 42-летний Шамсуд Дин Джаббар, говорят источники американских СМИ,Москва. 1 января. INTERFAX.RU - В Новом Орлеане ФБР выясняет, были ли сообщники у мужчины, который въехал на автомобиле в толпу людей на Бурбон-стрит. Источники ,, что это стандартная схема в расследовании такого рода нападений.,По версии следствия, подозреваемый сначала протаранил толпу отдыхающих, а затем вышел и открыл огонь. Вероятно, он был убит одним из полицейских, которые начали отстреливаться.,О личности напавшего и мотивах официально ничего не сообщается. На фото с места преступления виден только его пикап. В полиции отметили, что у машины техасские номера. Источники CBS News говорят, что автомобиль мог и не принадлежать напавшему, а мог быть взят в аренду или даже угнан. Этот электротрак Ford F-150 Lightning принадлежал другому человеку, который сдавал его в аренду через сайт Turo. Владелец машины подтвердил это CNN в переписке.,Источники CBS News, близкие к следствию, говорят, что в момент нападения подозреваемый был в бронежилете.,Высокопоставленные источники CBS и ,, что подозреваемый - 42-летний Шамсуд Дин Джаббар. Следствие выясняет его происхождение и историю переездов.,Источники ,, что при погибшем был флаг ИГ (""Исламское государство"", признано в России террористическим и запрещено), а в его автомобиле находились многочисленные взрывные устройства.,Очевидцы сообщили CNN, что перед новогодней ночью на Бурбон-стрит не установили стальные заграждения, которые могли бы помешать водителю пикапа въехать в толпу. Заграждения там поставили в 2017 году после ,в Ницце и серии пьяных ДТП в самом французском квартале Нового Орлеана, их можно поднимать и укреплять, этого не было сделано.,Случившееся расследует ФБР при содействии Министерства внутренней безопасности, спецслужба ,. По последним данным, в результате наезда и стрельбы , и были ранены еще 35. Среди пострадавших - два гражданина Израиля, , The Times of Israel со ссылкой на израильский МИД.,Президент США Джо Байден выразил соболезнования семьям погибших и пострадавшим и заявил, что не может быть оправдания насилию. Он также поблагодарил полицию Нового Орлеана за быструю реакцию.,Избранный президент Дональд Трамп также выразил соболезнования родственникам погибших и пострадавшим, пообещал поддержку Новому Орлеану от своей будущей администрации. Кроме того, он заявил, что прибывающие в США преступники - намного хуже местных и что преступность в стране выросла до невиданных уровней.,""Когда я сказал, что приезжающие преступники - намного хуже преступников в нашей стране, это заявление постоянно критиковали демократы и лживые СМИ, но оно оказалось правдой"", - написал он в соцсети.,NBC News, ссылаясь на данные ФБР, отмечает, что число насильственных преступлений в США в 2023 году снизился на 3% по сравнению с 2022 годом."
2025.01.01 20:30,Энергоблок №7 Нововоронежской АЭС отключен действием автоматики,https://www.interfax.ru/russia/1001501,"Росэнергоатом,НВАЭС,Нововоронежская АЭС",,"Москва. 1 января. INTERFAX.RU - Энергоблок №7 Нововоронежской АЭС отключен от сети для проведения ремонтных работ, сообщила пресс-служба атомной станции.,""1 января 2025 года в 15:53 по Москве энергоблок №7 Нововоронежской АЭС (филиал АО ""Концерн Росэнергоатом"", Электроэнергетический дивизион ""Росатома"") отключен от сети действием автоматики для выполнения ремонтных работ на электротехническом оборудовании"", - говорится в сообщении.,Система сработала в штатном режиме в соответствии с проектными алгоритмами.,Нарушений пределов и условий безопасной эксплуатации нет.,Радиационный фон в районе АЭС соответствует значениям естественного природного фона на территории Воронежской области.,На НВАЭС в работе находятся энергоблоки №4, 5, 6. Они несут суммарную нагрузку 2191 МВт."
2025.01.01 20:26,На крымском побережье третьи сутки подряд нет новых выбросов мазута,https://www.interfax.ru/russia/1001500,"Крым,Минприроды,Керченский пролив,Ольга Шевцова,Кубань",,"Москва. 1 января. INTERFAX.RU - На крымском побережье третьи сутки подряд не фиксируют новых выбросов мазута с затонувших в Керченском проливе танкеров, сообщила глава Минприроды Крыма Ольга Шевцова.,""Фактов обнаружения нефтепродуктов не выявлено. Обследовано 280 км береговой линии"", - написала Шевцова в своем телеграм-канале.,Мониторинговые группы обследовали побережье на территории шести муниципалитетов республики.,Выбросы мазута с танкеров, потерпевших крушение в Керченском проливе, впервые зафиксировали на берегу Крыма 21 декабря. С тех пор обследовали 1,6 тысячи километров береговой линии (в том числе повторно), собрали и вывезли почти 227 тонн загрязненного мазутом песка, очистили 44,3 километра береговой линии. С 30 декабря новые факты выбросов нефтепродуктов на побережье полуострова не фиксируются.,15 декабря в Керченском проливе потерпели крушение танкеры с мазутом ""Волгонефть 212"" и ""Волгонефть 239"". Один член экипажа погиб, остальные были эвакуированы. В районе ЧП произошел разлив топлива. 26 декабря на Кубани был введен режим ЧС федерального уровня, 28 декабря ввели режим техногенной ЧС регионального характера в Крыму."
2025.01.01 20:46,"Что произошло за день: среда, 1 января",https://www.interfax.ru/world/1001499,,,"Десять погибших в теракте в новогоднюю ночь в Новом Орлеане, в Приднестровье прекратили подачу газа, тепла и горячей воды, в Молдавии введен режим экономии электроэнергии,Москва. 1 января. INTERFAX.RU - Краткая сводка событий, произошедших за день:,-, из-за остановки поставок российского газа. В Молдавии с 1 января , по экономии электроэнергии.,- ,. Десять человек погибли, еще тридцать пять госпитализированы с травмами и ранениями, напавший ,. ФБР расследует это ,.,- ,, с побережья, загрязненного грунта. После шторма на пляжах ,мазута. Специалисты Морспасслужбы , затонувших фрагментов танкеров ""Волгонефть"", утечек мазута из фрагментов нет.,- ,. Об этом говорится в его поздравительной телеграмме президенту Словакии Петеру Пеллегрини и премьер-министру страны Роберту Фицо по случаю Дня образования республики.,- ,, сообщила материнская компания двух кредитных организаций - ""Т-Технологии"".,- , на прошедшем в Нью-Йорке чемпионате мира по блицу."
2025.01.01 20:51,В Воронежской области сбили несколько беспилотников,https://www.interfax.ru/russia/1001502,"ПВО,Александр Гусев,Воронежская область",,"Москва. 1 января. INTERFAX.RU - Губернатор Воронежской области Александр Гусев , об уничтожении нескольких дронов в регионе.,""Дежурными силами ПВО и средствами РЭБ в пригороде Воронежа и в одном из районов области обнаружены и уничтожены несколько БПЛА. По предварительной информации, пострадавших и разрушений нет"", - написал он в Telegram.,По данным Гусева, опасность атаки БПЛА в Воронежской области сохраняется."
2025.01.01 21:03,Минобороны заявило о нейтрализации 19 дронов над пятью регионами,https://www.interfax.ru/russia/1001503,"Минобороны,Брянская область,Воронежская область,Курская область,Белгородская область,Ростовская область",,"Москва. 1 января. INTERFAX.RU - Российские силы ПВО вечером 1 января сбили 19 украинских беспилотников над пятью регионами, сообщило Минобороны России.,""1 января в период с 17:30 до 20:00 по Москве дежурными средствами ПВО уничтожены 19 украинских беспилотных летательных аппаратов: 10 БПЛА над территорией Белгородской области, три над территорией Курской области, два над территорией Воронежской области, два над территорией Брянской области и два над территорией Ростовской области"", - говорится в сообщении."
2025.01.01 21:41,"Аэропорты Калуги, Пензы, Саранска и Саратова временно не обслуживают рейсы",https://www.interfax.ru/russia/1001504,"Росавиация,Саранск,Саратов,Пенза,Калуга",,"Москва. 1 января. INTERFAX.RU - Аэропорты Калуги, Пензы, Саранска и Саратова временно не обслуживают рейсы для обеспечения безопасности полетов, сообщила Росавиация.,Ограничения введены вечером в среду: в Калуге - в 20:36 мск, в остальных аэропортах - в 21:00.,""Воздушные гавани временно не принимают и не отправляют авиарейсы"", - уточнили в Росавиации."
2025.01.01 22:12,Двое ранены в Белгородской области после атаки украинского дрона,https://www.interfax.ru/russia/1001505,"Белгород,ВСУ,Вячеслав Гладков",,"Москва. 1 января. INTERFAX.RU - Автомобиль был атакован беспилотником ВСУ в Белгородской области, ранены двое мирных жителей, сообщил глава региона Вячеслав Гладков.,""В Волоконовском районе на участке автодороги Шаховка - Тишанка вражеский беспилотник ударил по движущемуся легковому автомобилю. "", - написал он в своем телеграм-канале в среду.,Двое пострадавших были переданы бригаде скорой помощи, добавил глава региона."
2025.01.01 23:03,Минобороны РФ заявило об уничтожении еще 14 украинских дронов,https://www.interfax.ru/russia/1001506,Минобороны РФ,,"Москва. 1 января. INTERFAX.RU - Еще 14 украинских беспилотников (БПЛА) сбиты над российскими регионами в среду вечером, сообщило Минобороны РФ.,""1 января в период с 20:00 до 22:00 мск дежурными средствами ПВО уничтожены 14 украинских беспилотных летательных аппаратов: два БПЛА над территорией Белгородской области, четыре над территорией Воронежской области, пять над территорией Ростовской области, два над территорией Тульской и один над территорией Орловской области"", - сказано в сообщении министерства.,Ранее Минобороны РФ заявило, что в среду с 17:30 до 20:00 мск уничтожены 19 украинских беспилотников над Белгородской, Курской, Воронежской, Брянской и Ростовской областями."
2025.01.01 23:06,Аэропорт Калуги возобновил штатную работу,https://www.interfax.ru/russia/1001507,Калуга,,"Москва. 1 января. INTERFAX.RU - Ограничения на прием и выпуск воздушных судов в аэропорту Калуги (""Грабцево"") сняты в 22:30 мск, сообщила Росавиация.,""В период действия ограничений один самолет, выполнявший рейсы в Калугу, совершил посадку на запасном аэродроме ""Внуково"", - отметили в ведомстве.,Работа аэропорта была ограничена для обеспечения безопасности полетов. Аналогичные ограничения вводились в аэропортах Пензы, Саранска и Саратова."
Date,Title,Link,Tags,Description,Text
2025.01.01 23:10,Пять беспилотников уничтожены над Ростовской областью,https://www.interfax.ru/russia/1001508,"Ростов,Юрий Слюсарь,Ростовская область",,"Москва. 1 января. INTERFAX.RU - Средства противовоздушной обороны уничтожили пять дронов над Ростовской областью, сообщил врио губернатора Юрий Слюсарь.,""Два БПЛА уничтожено в районе Таганрога. Предварительно, без пострадавших"", - написал Слюсарь в своем телеграм-канале.,Кроме того, он сообщил, что три беспилотника уничтожены в Миллеровском и Тарасовском районах."
2025.01.01 17:48,На горе Машук в Пятигорске совершили пять поджогов,https://www.interfax.ru/russia/1001491,"Дмитрий Ворошилов,Машук,Пятигорск",,"Москва. 1 января. INTERFAX.RU - На горе Машук в Пятигорске зафиксировано за день пять поджогов, сейчас там дежурят пожарные во избежание новых пожаров, , глава города Дмитрий Ворошилов.,""В среду был зафиксирован дым сразу в четырех местах на северо-западном склоне горы Машук, что явно говорит о поджоге. Благодаря оперативным действиям пожарных и спасателей (...)возгорания не распространились, были локализованы и потушены на 100 квадратных метрах"", - написал он.,Затем поступила информация о еще одном возгорании ближе к юго-восточному склону горы. Открытое горение ликвидировано на площади 500 квадратных метров. ""Пожарные пока дежурят там, чтобы избежать повторных возгораний"", - добавил мэр.,Гора Машук расположена в северо-восточной части Пятигорска и является памятником природы."
